"year","date","mean.discharge","median.discharge","mean.gh","median.gh"
2018,2018-12-09,126.864583333333,128,6.5171875,6.525
2018,2018-12-10,123.010416666667,124,6.49458333333333,6.5
2018,2018-12-11,113.0875,115,6.4610447761194,6.48
2018,2018-12-12,111.760416666667,111,6.42520833333333,6.42
2018,2018-12-13,102.110416666667,103,6.36104166666667,6.37
2018,2018-12-14,101.135416666667,100,6.35635416666667,6.35
2018,2018-12-15,106.59375,106,6.391875,6.39
2018,2018-12-16,113.447916666667,114,6.43625,6.44
2018,2018-12-17,178.114583333333,177,6.78208333333333,6.785
2018,2018-12-18,138.125,137,6.580625,6.58
2018,2018-12-19,102.705208333333,102.5,6.36385416666667,6.365
2018,2018-12-20,99.5927083333333,99,6.34395833333333,6.34
2018,2018-12-21,785.941666666667,160,7.988125,6.7
2018,2018-12-22,714.46875,571.5,8.30135416666667,8.105
2018,2018-12-23,162.375,152,6.69989583333333,6.66
2018,2018-12-24,97.015625,95.4,6.3246875,6.315
2018,2018-12-25,75.75,76.1,6.16583333333333,6.17
2018,2018-12-26,58.26875,57.3,6.01322916666667,6.005
2018,2018-12-27,51.1552083333333,51.7,5.94395833333333,5.95
2018,2018-12-28,61.4635416666667,47.9,6.02375,5.91
2018,2018-12-29,98.2583333333333,93.3,6.32583333333333,6.3
2018,2018-12-30,57.1041666666667,55.8,6.0009375,5.99
2018,2018-12-31,44.7614583333333,44.65,5.87552083333333,5.875
2019,2019-01-01,201.435416666667,202,6.80760416666667,6.905
2019,2019-01-02,96.0604166666667,88.45,6.30583333333333,6.265
2019,2019-01-03,60.1552083333333,58.9,6.03145833333333,6.02
2019,2019-01-04,52.003125,51.7,5.95239583333333,5.95
2019,2019-01-05,65.5895833333333,48.8,6.05354166666667,5.92
2019,2019-01-06,87.340625,80.55,6.245,6.205
2019,2019-01-07,47.6729166666667,45.55,5.90354166666667,5.885
2019,2019-01-08,38.9770833333333,38.2,5.80885416666667,5.8
2019,2019-01-09,70.8833333333333,76.75,6.11364583333333,6.175
2019,2019-01-10,60.0166666666667,57.8,6.025625,6.01
2019,2019-01-11,35.3729166666667,34.3,5.76114583333333,5.75
2019,2019-01-12,25.9583333333333,25.9,5.72552083333333,5.68
2019,2019-01-13,22.4739583333333,22,5.873125,5.91
2019,2019-01-14,21.3135416666667,21.4,5.6528125,5.63
2019,2019-01-15,19.3260416666667,19.2,5.58614583333333,5.59
2019,2019-01-16,17.5697916666667,17.5,5.55510416666667,5.56
2019,2019-01-17,17.1197916666667,17.1,5.52666666666667,5.53
2019,2019-01-18,15.4958333333333,15.2,5.446875,5.44
2019,2019-01-19,16.3239583333333,16.1,5.46447916666667,5.46
2019,2019-01-20,16.3354166666667,16.3,5.43864583333333,5.45
2019,2019-01-21,18.11875,18.2,5.70063157894737,5.68
2019,2019-01-22,21.771875,21.65,6.51138888888889,6.525
2019,2019-01-23,27.6802083333333,27.3,6.4934375,6.5
2019,2019-01-24,112.442708333333,37.65,6.34291666666667,6.14
2019,2019-01-25,302.989583333333,218,7.20666666666667,6.975
2019,2019-01-26,76.4212765957447,70.55,6.22352941176471,6.195
2019,2019-01-27,44.5791666666667,44.15,5.92927083333333,5.92
2019,2019-01-28,38.2,38.45,5.84395833333333,5.82
2019,2019-01-29,33.00625,33,5.85041666666667,5.805
2019,2019-01-30,27.259375,27.45,5.73833333333333,5.73
2019,2019-01-31,21.0833333333333,20.7,5.62282051282051,5.61
2019,2019-02-01,21.3510416666667,21.3,NA,NA
2019,2019-02-02,22.3541666666667,22.3,NA,NA
2019,2019-02-03,24.0354166666667,23.95,NA,NA
