"domainID","siteID","date","year","yday","daily.precip","mon.precip"
"D01","HOPB",2019-04-05,2019,95,0.79,42.15
"D01","HOPB",2019-04-06,2019,96,2.74,44.08
"D01","HOPB",2019-04-07,2019,97,0.9,43.99
"D01","HOPB",2019-04-08,2019,98,9.88,53.18
"D01","HOPB",2019-04-09,2019,99,3.18,49.83
"D01","HOPB",2019-04-10,2019,100,1.34,50.73
"D01","HOPB",2019-04-11,2019,101,0.51,50.41
"D01","HOPB",2019-04-12,2019,102,0.62,50.46
"D01","HOPB",2019-04-13,2019,103,16.22,66.06
"D01","HOPB",2019-04-14,2019,104,1.23,67.09
"D01","HOPB",2019-04-15,2019,105,16.32,82.71
"D01","HOPB",2019-04-16,2019,106,1.21,83.17
"D01","HOPB",2019-04-17,2019,107,0.8,83.28
"D01","HOPB",2019-04-18,2019,108,0.95,83.42
"D01","HOPB",2019-04-19,2019,109,1.06,83.56
"D01","HOPB",2019-04-20,2019,110,27.73,110.56
"D01","HOPB",2019-04-21,2019,111,2.65,107.87
"D01","HOPB",2019-04-22,2019,112,13.01,118.3
"D01","HOPB",2019-04-23,2019,113,6.12,123.61
"D01","HOPB",2019-04-24,2019,114,5.94,128.49
"D01","HOPB",2019-04-25,2019,115,1.33,129.82
